Ano,Presidente_BR,Governador_RS,Prefeito_POA,"Grandes Regiões, Unidades da Federação e Municípios",População em idade de trabalhar (1 000 pessoas),População na força de trabalho (1 000 pessoas),População ocupada (1 000 pessoas),População ocupada em trabalhos formais (1) (1 000 pessoas),População desocupada (1 000 pessoas),População na força de trabalho potencial (1 000 pessoas),População subutilizada (1 000 pessoas),Taxa de participação (%),Nível de ocupação (%),Taxa de formalização (%),Taxa de desocupação (%),Taxa composta de subutilização (%)
2012,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Brasil,153685,96354,89261,52597,7093,5746,19031,62.7,58.1,58.9,7.4,18.6
2012,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Sul,22641,14960,14247,9792,713,495,1940,66.1,62.9,68.7,4.8,12.6
2012,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Rio Grande do Sul,8816,5733,5425,3605,308,201,818,65.0,61.5,66.4,5.4,13.8
2012,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Porto Alegre,1191,772,727,531,45,17,85,64.8,61.1,73.0,5.8,10.8
2013,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Brasil,155766,97943,90814,54547,7129,5086,17592,62.9,58.3,60.1,7.3,17.1
2013,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Sul,22936,15216,14551,10187,666,414,1656,66.3,63.4,70.0,4.4,10.6
2013,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Rio Grande do Sul,8937,5926,5629,3794,297,181,767,66.3,63.0,67.4,5.0,12.6
2013,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Porto Alegre,1178,783,750,558,33,9,58,66.5,63.7,74.4,4.2,7.3
2014,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Brasil,157802,98516,91619,56116,6897,4485,16325,62.4,58.1,61.2,7.0,15.8
2014,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Sul,23224,15199,14545,10515,654,360,1515,65.4,62.6,72.3,4.3,9.7
2014,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Rio Grande do Sul,8970,5857,5538,3886,319,166,727,65.3,61.7,70.2,5.5,12.1
2014,Dilma Rousseff (1º mandato),Tarso Genro,José Fortunati,Porto Alegre,1190,769,728,557,40,10,68,64.6,61.2,76.5,5.3,8.7
2015,Dilma Rousseff (2º mandato),José Ivo Sartori,José Fortunati,Brasil,159714,100562,91649,56224,8913,4993,19221,63.0,57.4,61.3,8.9,18.2
2015,Dilma Rousseff (2º mandato),José Ivo Sartori,José Fortunati,Sul,23519,15523,14635,10626,888,427,1854,66.0,62.2,72.6,5.7,11.6
2015,Dilma Rousseff (2º mandato),José Ivo Sartori,José Fortunati,Rio Grande do Sul,9060,5995,5618,3999,377,196,836,66.2,62.0,71.2,6.3,13.5
2015,Dilma Rousseff (2º mandato),José Ivo Sartori,José Fortunati,Porto Alegre,1152,782,740,556,42,12,75,67.9,64.2,75.2,5.4,9.4
2016,Dilma Rousseff (2º mandato),José Ivo Sartori,José Fortunati,Brasil,161500,101726,89894,54999,11832,6302,23102,63.0,55.7,61.2,11.6,21.4
2016,Dilma Rousseff (2º mandato),José Ivo Sartori,José Fortunati,Sul,23773,15769,14550,10527,1219,452,2165,66.3,61.2,72.4,7.7,13.3
2016,Dilma Rousseff (2º mandato),José Ivo Sartori,José Fortunati,Rio Grande do Sul,9096,6066,5575,3952,491,183,916,66.7,61.3,70.9,8.1,14.7
2016,Dilma Rousseff (2º mandato),José Ivo Sartori,José Fortunati,Porto Alegre,1176,776,709,508,67,19,119,66.0,60.3,71.7,8.6,14.9
2017,Michel Temer,José Ivo Sartori,Nelson Marchezan Júnior,Brasil,163166,103204,90172,53604,13032,7363,26747,63.3,55.3,59.4,12.6,24.2
2017,Michel Temer,José Ivo Sartori,Nelson Marchezan Júnior,Sul,24019,15944,14607,10391,1337,537,2511,66.4,60.8,71.1,8.4,15.2
2017,Michel Temer,José Ivo Sartori,Nelson Marchezan Júnior,Rio Grande do Sul,9131,6025,5514,3885,512,200,1009,66.0,60.4,70.5,8.5,16.2
2017,Michel Temer,José Ivo Sartori,Nelson Marchezan Júnior,Porto Alegre,1166,766,699,500,67,21,118,65.7,59.9,71.6,8.7,15.0
2018,Michel Temer,José Ivo Sartori,Nelson Marchezan Júnior,Brasil,164729,104176,91519,53739,12657,8168,27702,63.2,55.6,58.7,12.1,24.7
2018,Michel Temer,José Ivo Sartori,Nelson Marchezan Júnior,Sul,24241,16055,14798,10551,1256,591,2525,66.2,61.0,71.3,7.8,15.2
2018,Michel Temer,José Ivo Sartori,Nelson Marchezan Júnior,Rio Grande do Sul,9142,5979,5480,3833,499,217,1025,65.4,59.9,69.9,8.3,16.5
2018,Michel Temer,José Ivo Sartori,Nelson Marchezan Júnior,Porto Alegre,1168,796,720,519,77,22,141,68.1,61.6,72.1,9.6,17.3
2019,Jair Bolsonaro,Eduardo Leite (1º mandato),Nelson Marchezan Júnior,Brasil,166328,106046,93534,54763,12511,8178,27820,63.8,56.2,58.5,11.8,24.4
2019,Jair Bolsonaro,Eduardo Leite (1º mandato),Nelson Marchezan Júnior,Sul,24456,16399,15150,10780,1249,579,2546,67.1,61.9,71.2,7.6,15.0
2019,Jair Bolsonaro,Eduardo Leite (1º mandato),Nelson Marchezan Júnior,Rio Grande do Sul,9237,6154,5672,3958,482,216,994,66.6,61.4,69.8,7.8,15.6
2019,Jair Bolsonaro,Eduardo Leite (1º mandato),Nelson Marchezan Júnior,Porto Alegre,1171,775,709,490,66,19,123,66.2,60.5,69.2,8.6,15.5
2020,Jair Bolsonaro,Eduardo Leite (1º mandato),Nelson Marchezan Júnior,Brasil,167886,98880,85289,52179,13590,11622,31241,58.9,50.8,61.2,13.7,28.3
2020,Jair Bolsonaro,Eduardo Leite (1º mandato),Nelson Marchezan Júnior,Sul,24733,15603,14240,10511,1363,871,2875,63.1,57.6,73.8,8.7,17.5
2020,Jair Bolsonaro,Eduardo Leite (1º mandato),Nelson Marchezan Júnior,Rio Grande do Sul,9238,5727,5193,3770,535,350,1168,62.0,56.2,72.6,9.3,19.2
2020,Jair Bolsonaro,Eduardo Leite (1º mandato),Nelson Marchezan Júnior,Porto Alegre,1161,703,618,461,85,47,174,60.5,53.2,74.6,12.1,23.2
2021,Jair Bolsonaro,Eduardo Leite (1º mandato),Sebastião Melo,Brasil,169125,102253,87929,52631,14324,10387,32146,60.5,52.0,59.9,14.0,28.5
2021,Jair Bolsonaro,Eduardo Leite (1º mandato),Sebastião Melo,Sul,24913,15979,14714,10757,1265,689,2701,64.1,59.1,73.1,7.9,16.2
2021,Jair Bolsonaro,Eduardo Leite (1º mandato),Sebastião Melo,Rio Grande do Sul,9288,5918,5397,3855,521,265,1120,63.7,58.1,71.4,8.8,18.1
2021,Jair Bolsonaro,Eduardo Leite (1º mandato),Sebastião Melo,Porto Alegre,1181,743,667,482,76,54,174,62.9,56.5,72.2,10.2,21.8
2022,Jair Bolsonaro,Eduardo Leite (1º mandato),Sebastião Melo,Brasil,170254,105241,95158,56192,10082,7494,23597,61.8,55.9,59.1,9.6,20.9
2022,Jair Bolsonaro,Eduardo Leite (1º mandato),Sebastião Melo,Sul,24997,16317,15402,11123,915,526,1969,65.3,61.6,72.2,5.6,11.7
2022,Jair Bolsonaro,Eduardo Leite (1º mandato),Sebastião Melo,Rio Grande do Sul,9299,5995,5612,4028,383,230,859,64.5,60.3,71.8,6.4,13.8
2022,Jair Bolsonaro,Eduardo Leite (1º mandato),Sebastião Melo,Porto Alegre,1196,786,728,528,57,30,123,65.7,60.9,72.5,7.3,15.1
2023,Luiz Inácio Lula da Silva (3º mandato),Eduardo Leite (2º mandato),Sebastião Melo,Brasil,171515,107026,98733,58491,8293,6920,20520,62.4,57.6,59.2,7.7,18.0
2023,Luiz Inácio Lula da Silva (3º mandato),Eduardo Leite (2º mandato),Sebastião Melo,Sul,25316,16770,15985,11534,785,479,1737,66.2,63.1,72.2,4.7,10.1
2023,Luiz Inácio Lula da Silva (3º mandato),Eduardo Leite (2º mandato),Sebastião Melo,Rio Grande do Sul,9227,6065,5735,4042,330,199,755,65.7,62.2,70.5,5.4,12.1
2023,Luiz Inácio Lula da Silva (3º mandato),Eduardo Leite (2º mandato),Sebastião Melo,Porto Alegre,1185,780,733,492,47,20,103,65.8,61.8,67.1,6.0,12.9
2024,Luiz Inácio Lula da Silva (3º mandato),Eduardo Leite (2º mandato),Sebastião Melo,Brasil,172816,108502,101309,60171,7194,6482,18653,62.8,58.6,59.4,6.6,16.2
2024,Luiz Inácio Lula da Silva (3º mandato),Eduardo Leite (2º mandato),Sebastião Melo,Sul,25554,17112,16398,11907,714,462,1633,67.0,64.2,72.6,4.2,9.3
2024,Luiz Inácio Lula da Silva (3º mandato),Eduardo Leite (2º mandato),Sebastião Melo,Rio Grande do Sul,9289,6171,5851,4149,320,218,761,66.4,63.0,70.9,5.2,11.9
2024,Luiz Inácio Lula da Silva (3º mandato),Eduardo Leite (2º mandato),Sebastião Melo,Porto Alegre,1188,796,741,521,55,25,112,67.0,62.4,70.3,6.9,13.6
